KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE,kepid,kepmag,dutycycle,dataspan,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,cdppslplong,cdppslpshrt,r,logr
10231119,5598,3.99,0.9912,8.218,0.013,   ,15263.23,1.085,0.6188,0,299.40921,47.24983,10231119,13.744,0.6976999999999999,1458.931,151.568,141.01,138.56,134.358,133.054,130.599,130.638,132.152,136.368,141.372,149.281,156.171,158.604,169.936,0.3221499999999999,-0.2031,15263.23,4.183646448608316
10231171,6259,4.25,1.1903,4.736,0.014,   ,1488.8,0.901,0.5891,0,299.42593,47.25799,10231171,13.679,0.6976999999999999,1458.931,115.591,100.11,91.432,83.307,78.528,71.928,69.295,65.241,61.004,58.402,56.586,54.768,54.459,52.838,-0.2104999999999999,-0.70225,1488.8,3.1728363601227105
10231594,4986,3.89,0.8306,11.748,0.074,   ,5957.6,1.064,0.5791,0,299.54361,47.23606,10231594,12.687,0.6976,1458.931,79.798,73.137,70.612,67.52,66.239,64.354,63.318,62.126,61.824,61.948,63.146,64.84,65.454,69.038,0.15765,-0.3216,5957.6,3.775071340835313
10231762,5480,4.11,0.9594,26.139,0.89,   ,3080.43,0.595,0.3813,0,299.59561,47.2843,10231762,12.696,0.6976,1458.931,73.348,65.528,61.895,58.136,56.065,51.95,50.619,49.267,48.02,47.482,47.564,47.838,47.783,48.446,0.0134,-0.52858,3080.43,3.488611344290232
10251919,5111,4.42,0.863,32.316,5.83,SM1,4039.65,0.401,0.2657,0,280.47083,47.38732,10251919,15.334,0.8736,1458.931,380.494,338.595,319.538,296.654,282.794,256.941,246.597,230.6,213.171,201.395,193.586,187.279,186.037,177.648,-0.25982,-0.61753,4039.65,3.6063437389587887
10252131,6193,4.24,1.1683,3.913,0.845,   ,4090.96,1.252,0.7122,0,280.61221,47.3734,10252131,11.146,0.8619,1458.931,52.396,50.821,51.85,51.922,52.939,54.052,54.764,56.951,60.566,63.325,66.367,69.699,70.797,75.882,0.3267499999999999,0.1699199999999999,4090.96,3.611825233137043
10252207,5525,4.44,0.9714,17.32,0.085,   ,11846.6,1.209,0.6394,0,280.66736,47.32527,10252207,15.081,0.8724,1238.002,358.565,331.986,326.56,318.505,311.627,293.377,286.264,276.667,263.217,255.703,249.66,244.244,242.804,241.897,-0.13142,-0.3037599999999999,11846.6,4.0735937247670435
10252382,5270,4.5,0.9042,16.93,0.047,   ,32593.76,1.468,0.683,0,280.77621,47.33712,10252382,14.047,0.8730999999999999,1458.931,184.988,170.145,164.839,158.178,155.647,150.976,149.31,148.721,149.701,151.54,154.607,158.549,160.247,168.24,0.1658699999999999,-0.3010399999999999,32593.76,4.513134463351316
10252413,5636,4.54,1.0016,18.492,0.432,   ,2675.83,0.495,0.3667,0,280.79694,47.30841,10252413,12.684,0.8731999999999999,1458.931,74.313,66.799,63.227,59.444,57.291,53.848,52.673,51.071,49.776,49.496,49.701,50.099,50.338,51.731,0.05208,-0.50244,2675.83,3.4274585185101545
10252620,5364,4.96,0.9287,5.622,0.024,   ,15239.95,1.243,0.6492,0,280.93655,47.30219,10252620,14.998,0.8735,1458.931,318.614,291.924,283.086,271.741,266.711,259.0,256.77,257.695,265.33,276.313,290.4,303.809,307.963,330.05,0.3165299999999999,-0.30201,15239.95,4.182983542150582
