KOI,KIC,Teff,log(g),Prot,e_Prot,Rvar,LPH,w,D,N,C,G,T,F,R,M1,M2,Simbad,_RA,_DE,kepid,kepmag,r,logr
1820,8277797,5297,4.213, 18.95, 0.05, 8983, 1.183185, 0.635989,0,0,0,0,0,0,0,0,0,Simbad,281.34882,44.29524,8277797,13.53,8983.0,3.953421399681035
1821,8832512,5326,4.411,  9.51, 0.00,16687, 1.390787, 0.747307,0,0,0,0,0,0,0,0,0,Simbad,296.75296,45.0411,8832512,14.943,16687.0,4.222378265944956
1825,5375194,5432,4.057, 10.21, 0.00,12640, 1.069103, 0.608080,0,0,0,0,0,0,0,0,0,Simbad,295.30008,40.55659,5375194,13.895,12640.0,4.101747073946366
1829,7697568,5186,4.544, 18.96, 0.04,11722, 0.994570, 0.621914,0,0,0,0,0,0,0,0,0,Simbad,296.52243,43.36337,7697568,15.911,11722.0,4.0690017170456
1830,3326377,4926,4.493, 18.68, 0.01,16182, 1.410491, 0.679109,0,0,0,0,0,0,0,0,0,Simbad,286.55807,38.40537,3326377,14.443,16182.0,4.209032196836535
1832,11709244,5550,4.407, 14.14, 0.04,18233, 1.280043, 0.674976,0,0,0,0,0,0,0,0,0,Simbad,289.83542,49.82563,11709244,15.009,18233.0,4.2608581319711405
1833,11853878,4300,4.674, 10.58, 0.00,15665, 1.245084, 0.655206,0,0,0,0,0,0,0,0,0,Simbad,285.60254,50.11204,11853878,14.265,15665.0,4.194930399217724
1835,9471268,5004,4.163,  9.65, 0.01,13518, 1.416319, 0.744820,0,0,0,0,0,0,0,0,0,Simbad,294.32553,46.00225,9471268,13.693,13518.0,4.1309124421074745
1837,10657406,5174,4.395, 18.05, 0.03,15351, 1.287769, 0.659668,0,0,0,0,0,0,0,0,0,Simbad,288.3725,47.93356,10657406,13.733,15351.0,4.18613667169178
1838,5526527,4399,4.277,  9.31, 0.00,40884, 1.598036, 0.756009,0,0,0,0,0,0,0,0,0,Simbad,289.62524,40.70873,5526527,14.786,40884.0,4.611553379615502
1839,5856571,5263,3.946,  6.26, 0.00,20363, 1.184422, 0.619358,0,0,0,0,0,0,0,0,0,Simbad,284.09457,41.18282,5856571,13.237,20363.0,4.308841761261316
1840,7765528,5869,4.366,  5.59, 0.00,15277, 1.151553, 0.644414,0,0,0,0,0,0,0,0,0,Simbad,295.8287,43.42549,7765528,14.915,15277.0,4.184038078626889
1841,11760231,5051,4.424, 25.31, 0.17, 5853, 1.241748, 0.610327,0,0,0,0,0,0,0,0,0,Simbad,290.16525,49.92386,11760231,13.218,5853.0,3.7673785241141804
1842,7779077,5389,4.411, 11.22, 0.03,14394, 1.327871, 0.722503,0,0,0,0,0,0,0,0,0,Simbad,299.25031,43.41044,7779077,14.306,14394.0,4.158181498351475
1843,5080636,3578,4.808, 34.19, 0.27,15122, 1.154074, 0.610675,1,0,0,0,0,0,0,0,0,Simbad,285.01309,40.22075,5080636,14.404,15122.0,4.1796092337262
1845,3338885,4717,4.015, 38.43, 1.67, 3866, 0.893586, 0.468939,0,0,0,0,0,0,0,0,0,Simbad,290.54855,38.49528,3338885,14.438,3866.0,3.5872618496925344
1847,6776401,5160,4.41, 21.04, 0.02,10135, 1.070729, 0.606772,0,0,0,0,0,0,0,0,0,Simbad,291.5162,42.24819,6776401,14.812,10135.0,4.005823753029028
1848,7430034,6025,4.442, 18.71, 0.03, 1927, 1.141377, 0.581183,0,0,0,0,0,0,0,0,0,Simbad,286.71072,43.04345,7430034,13.429,1927.0,3.284881714655453
1849,9735426,5066,4.697, 26.87, 1.09, 5720, 0.537485, 0.381250,0,0,0,0,0,0,0,0,0,Simbad,300.37128,46.40828,9735426,14.624,5720.0,3.7573960287930244
1851,10464050,5712,4.627, 13.94, 0.11,10675, 1.049420, 0.622332,0,0,0,0,0,0,0,0,0,Simbad,289.2489,47.6501,10464050,14.769,10675.0,4.028367883697062
1854,9662811,5435,4.174, 24.40, 1.26, 1856, 0.575509, 0.397160,0,0,0,0,0,0,0,0,0,Simbad,296.95886,46.39413,9662811,13.534,1856.0,3.268577971882843
1856,11570749,5203,4.144, 27.58, 0.23, 6873, 0.719131, 0.447726,0,0,0,0,0,0,0,0,0,Simbad,297.07861,49.50208,11570749,14.082,6873.0,3.83714634390906
1858,8160953,5503,4.438, 18.51, 0.06,12274, 1.047362, 0.599008,0,0,0,0,0,0,0,0,0,Simbad,290.14432,44.04995,8160953,14.767,12274.0,4.088986118947913
1860,4157325,5708,4.369, 21.46, 1.36, 2454, 0.411171, 0.295464,0,0,0,0,0,0,0,0,0,Simbad,291.55695,39.22729,4157325,14.028,2454.0,3.3898745583909853
1861,3648437,5938,4.725,  6.55, 0.00,16227, 1.235965, 0.698538,0,0,0,0,0,0,0,0,0,Simbad,292.16617,38.73905,3648437,13.926,16227.0,4.210238236161727
1863,11126381,5975,4.576, 11.53, 0.21, 4942, 0.784395, 0.531167,0,0,0,0,0,0,0,0,0,Simbad,285.66711,48.71956,11126381,13.631,4942.0,3.6939027410660605
1866,9520838,5741,4.535, 18.29, 0.83, 4962, 0.812514, 0.506544,0,0,0,0,0,0,0,0,0,Simbad,289.41107,46.13085,9520838,14.986,4962.0,3.6956567599361905
1867,8167996,3800,4.769, 25.07, 4.34, 3429, 0.757890, 0.470542,1,0,0,0,0,0,0,0,0,Simbad,292.64236,44.08767,8167996,15.018,3429.0,3.535167485114944
1868,6773862,3953,4.705, 24.90, 0.05, 8292, 1.076009, 0.628344,1,0,0,0,0,0,0,0,0,Simbad,290.7084,42.23725,6773862,15.22,8292.0,3.918659293421823
1870,10187159,5004,4.298, 33.17, 1.10, 5499, 0.610254, 0.370743,0,0,0,0,0,0,0,0,0,Simbad,281.58292,47.23363,10187159,14.425,5499.0,3.7402837196818792
1877,10454632,4818,4.155, 25.77, 0.25,12413, 1.107470, 0.595566,0,0,0,0,0,0,0,0,0,Simbad,284.4303,47.64178,10454632,13.389,12413.0,4.093876755390045
1879,8367644,3644,4.843, 21.77, 0.02, 9657, 0.916702, 0.537561,1,0,0,0,0,0,0,0,0,Simbad,292.61411,44.39466,8367644,15.967,9657.0,3.984842231405276
1880,10332883,3837,4.737, 19.00, 0.04, 6503, 1.240032, 0.698309,1,0,0,0,0,0,0,0,0,Simbad,289.07224,47.40707,10332883,14.44,6503.0,3.8131137540078988
1881,4035640,5093,4.474, 18.38, 0.01,19302, 1.292969, 0.660929,0,0,0,0,0,0,0,0,0,Simbad,284.61572,39.13104,4035640,14.907,19302.0,4.285602311285613
1883,11758544,6063,4.339, 11.54, 0.28,  759, 0.318798, 0.268020,0,0,0,0,0,0,0,0,0,Simbad,289.23337,49.93893,11758544,11.894,759.0,2.88024177589548
1884,4851530,5077,4.485, 11.43, 0.03,11418, 1.157495, 0.625868,0,0,0,0,0,0,0,0,0,Simbad,295.9024,39.91836,4851530,15.462,11418.0,4.057590038670664
1886,9549648,6065,4.005,  7.45, 0.07,  596, 0.473551, 0.340043,0,0,0,0,0,0,0,0,0,Simbad,299.66046,46.19842,9549648,12.239,596.0,2.7752462597402365
1889,11074178,5537,4.585, 19.80, 0.09, 6913, 1.090394, 0.595374,0,0,0,0,0,0,0,0,0,Simbad,286.27386,48.61871,11074178,15.338,6913.0,3.8396665568824333
1890,7449136,5936,4.348,  6.44, 0.05,  583, 0.486573, 0.318473,0,0,0,0,0,0,0,0,0,Simbad,293.0795,43.07371,7449136,11.704,583.0,2.765668554759014
1892,9030537,5468,4.685, 26.92, 0.70, 3337, 0.592739, 0.375022,0,0,0,0,0,0,0,0,0,Simbad,294.8161,45.30612,9030537,15.5,3337.0,3.5233562066547925
1895,4263293,4288,4.731,  8.69, 0.00,35222, 1.630970, 0.761566,0,0,0,0,0,0,0,0,0,Simbad,291.83432,39.30736,4263293,15.862,35222.0,4.546814012741506
1900,9353314,4251,4.548, 17.77, 0.25,11769, 1.403569, 0.698911,0,0,0,0,0,0,0,0,0,Simbad,295.90656,45.80912,9353314,14.744,11769.0,4.070739562849198
1904,8766650,4908,4.062, 21.05, 0.03,10520, 0.975804, 0.607096,0,0,0,0,0,0,0,0,0,Simbad,296.54752,44.94193,8766650,13.395,10520.0,4.0220157398177205
1905,10328393,4942,4.327, 23.81, 0.12, 8475, 1.279435, 0.631212,0,0,0,0,0,0,0,0,0,Simbad,286.66296,47.4137,10328393,14.017,8475.0,3.9281397068751196
1907,7094486,3902,4.725, 18.18, 0.00, 9959, 1.208191, 0.679025,1,0,0,0,0,0,0,0,0,Simbad,282.85992,42.66576,7094486,15.278,9959.0,3.998215732370958
1908,5706966,4174,4.506, 24.43, 0.06,10200, 1.279427, 0.647880,0,0,0,0,0,0,0,0,0,Simbad,292.28607,40.91359,5706966,14.731,10200.0,4.008600171761918
1909,10130039,5856,4.457, 16.48, 0.17, 1367, 0.371237, 0.299603,0,0,0,0,0,0,0,0,0,Simbad,287.14066,47.11519,10130039,12.776,1367.0,3.1357685145678222
1911,9965957,5276,4.55, 17.17, 0.07,21639, 1.174019, 0.653625,0,0,0,0,0,0,0,0,0,Simbad,297.40155,46.824,9965957,15.196,21639.0,4.335237186909729
1913,9704384,5416,4.413, 21.81, 0.67, 4561, 0.617701, 0.446113,0,0,0,0,0,0,0,0,0,Simbad,289.29626,46.45795,9704384,13.317,4561.0,3.6590600722409383
1914,8426567,4843,4.108, 12.97, 0.03,10920, 1.224955, 0.663113,0,0,0,0,0,0,0,0,0,Simbad,290.24805,44.43524,8426567,14.417,10920.0,4.038222638368718
